kitchens_1,living_rooms_1,bedrooms_1,living_rooms_2,bedrooms_2,kitchens_2,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,correct_answer,stimulus,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_a_memotest.thisRepN,bed_a_memotest.thisTrialN,bed_a_memotest.thisN,bed_a_memotest.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,bed_b_memotest.thisRepN,bed_b_memotest.thisTrialN,bed_b_memotest.thisN,bed_b_memotest.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,bed_b_text_2.started,bed_b_block_no.started,bed_picture_image.started,bed_picture_image.stopped,bed_picture_resp.keys,bed_picture_resp.corr,bed_picture_resp.rt,bed_picture_resp.duration,memotest_task_slider_key_resp.keys,memotest_task_slider_key_resp.rt,memotest_task_slider_key_resp.duration,kitchen_fix.started,kitchen_picture_resp.keys,kitchen_picture_resp.corr,kitchen_picture_resp.rt,kitchen_picture_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,1,0,2,categorization,1,2,14,282,bedrooms,bedrooms,target,None,j,stimuli/img_2pk6v.png,85.08108108108108,66.16216216216216,75.62162162162161,37,9,9,9,9,9,8,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,13,,,,,134.42442229199514,,,,,,136.14535033399443,,j,1,136.6735087499983,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,3,271,bedrooms,bedrooms,target,None,j,stimuli/img_2pnl2.png,6.621621621621622,7.135135135135135,6.878378378378379,37,1,1,1,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,2,,,,,136.6887179999976,,,,,,137.7443992089975,138.4883935839971,j,1,138.8680454169953,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,7,275,bedrooms,bedrooms,target,None,j,stimuli/img_bj2gr.png,65.25,44.8,55.025,40,4,4,4,4,4,4,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,6,,,,,138.88252195899986,,,,,,140.84692004199314,141.5959487499931,j,1,141.6890807499949,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,1,269,bedrooms,bedrooms,target,None,j,stimuli/img_jivhq.png,37,22.26530612244898,29.63265306122449,49,2,2,2,2,2,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,0,,,,,141.70003945899953,,,,,,142.77045158399415,143.51167012499354,j,1,143.8761177089982,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,6,274,bedrooms,bedrooms,target,None,j,stimuli/img_fqgem.png,80.75,61.475,71.1125,40,8,8,8,8,8,8,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,5,,,,,143.89062033399387,,,,,,145.5848975839981,,j,1,146.16390187499928,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,23,291,bedrooms,bedrooms,target,None,j,stimuli/img_t4hvr.png,61.69230769230769,39.76923076923077,50.73076923076923,39,3,3,3,4,3,4,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,22,,,,,146.18143212499854,,,,,,147.3365319999939,148.0788239589965,j,1,148.69611466700007,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,4,272,bedrooms,bedrooms,target,None,j,stimuli/img_cgdyc.png,32.93023255813954,14.04651162790698,23.48837209302326,43,1,1,1,1,1,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,3,,,,,148.71468545899552,,,,,,149.86760024999967,150.61169979199622,j,1,150.98523674999888,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,20,288,bedrooms,bedrooms,target,None,j,stimuli/img_aweye.png,53.42105263157895,31.84210526315789,42.63157894736842,38,2,2,2,3,3,2,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,150.9993617499931,,,,,,152.54442562499753,153.2889444589964,j,1,153.37837829199998,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,26,294,bedrooms,bedrooms,target,None,j,stimuli/img_5p2ql.png,89.19565217391305,72.52173913043478,80.8586956521739,46,10,10,10,10,10,9,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,20,25,,,,,153.39115920899349,,,,,,154.762489541994,155.50577162499394,j,1,155.9737612089957,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
0,0,0,0,1,0,2,categorization,1,2,10,278,bedrooms,kitchens,distractor,None,f,stimuli/img_anjr0.png,67.88888888888889,45.80555555555556,56.84722222222222,36,4,4,4,4,4,4,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,21,9,,,,,155.99320137499308,,,,,,157.45280570899922,158.1953379589977,f,1,158.19312608399923,None,,,,,,,,,2,,,,2024-06-02_13h15.41.838,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-02 13h15.48.912011 +0200,
