stimulus,correct_answer,correct_1,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchens_1,kitchens_2,bedrooms_1,bedrooms_2,living_rooms_1,living_rooms_2,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/train_4.jpg,j,,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.424040083016735,,,,j,1,54.83691145799821,None,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_9.jpg,,1,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.65664512501098,,,,,,,,j,59.82184762501856,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_6.jpg,,1,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.324788208003156,,,,,,,,j,62.85744408299797,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_12.jpg,,1,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3582712910138,,,,,,,,j,66.47186195800896,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_11.jpg,,1,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.97584095800994,,,,,,,,j,70.29227791601443,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_4.jpg,,1,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.79131783300545,,,,,,,,j,73.95442070800345,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_3.jpg,,1,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.4587048329995,,,,,,,,j,77.32625658300822,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_5.jpg,,1,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.84258995801792,,,,,,,,j,80.97000466601457,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_17.jpg,,3,,,,,0,7,7,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.47541429102421,,,,,,,,j,None,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_19.jpg,,3,,,,,0,8,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.60904775001109,,,,,,,,j,88.10698875001981,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_10.jpg,,1,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.62606270800461,,,,,,,,j,92.04812841600506,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_20.jpg,,3,,,,,0,10,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.55887933302438,,,,,,,,j,96.12902412502444,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_7.jpg,,1,,,,,0,11,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.62665895800455,,,,,,,,j,99.98033050002414,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_2.jpg,,1,,,,,0,12,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.49328570801299,,,,,,,,j,103.35426712501794,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_18.jpg,,3,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8527596660133,,,,,,,,j,108.70083287500893,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_1.jpg,,1,,,,,0,14,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.21049045800464,,,,,,,,j,112.17140716602444,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
stimuli/train_8.jpg,,1,,,,,0,15,15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.67616779101081,,,,,,,,j,115.97749183300766,None,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,2024-06-14_13h47.03.538,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-14 13h47.11.372041 +0200,
