stimulus,correct_answer,correct_1,kitchens_1,kitchens_2,bedrooms_1,bedrooms_2,living_rooms_1,living_rooms_2,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_a_memotest.thisRepN,bed_a_memotest.thisTrialN,bed_a_memotest.thisN,bed_a_memotest.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,bed_b_memotest.thisRepN,bed_b_memotest.thisTrialN,bed_b_memotest.thisN,bed_b_memotest.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,bed_b_text_2.started,bed_b_block_no.started,bed_picture_image.started,bed_picture_resp.keys,bed_picture_resp.corr,bed_picture_resp.rt,bed_picture_resp.duration,bed_picture_image.stopped,memotest_task_slider_key_resp.keys,memotest_task_slider_key_resp.rt,memotest_task_slider_key_resp.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/train_1.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.69628587499028,,,,j,1,54.51553833298385,None,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_5.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.06083091598703,,,,,,,,j,71.49037374998443,None,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_1.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.00522970798193,,,,,,,,j,73.48708479100605,None,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_18.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9971448329743,,,,,,,,j,74.74187733297003,None,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_19.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.2535432499717,,,,,,,,j,76.95098933298141,None,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_2.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.46399183297763,,,,,,,,j,78.6616315409774,None,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_3.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.18082604097435,,,,,,,,j,81.82672324997839,None,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_17.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3376374579966,,,,,,,,j,86.10808741598157,None,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
stimuli/train_9.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.62155258300481,,,,,,,,j,88.2764288749895,None,,,,,,,,,,,,1,,,,2024-06-22_15h08.17.369,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-22 15h08.23.986264 +0200,
