stimulus,correct_answer,correct_1,living_rooms_1,bedrooms_1,living_rooms_2,kitchens_1,kitchens_2,bedrooms_2,subject_id,task,block_total,block_scene,trial_block,trial_total,target_cat,category,cond_cat,cond_mem,conceptual,perceptual,typicality,n,p_typicality,p_conceptual,p_perceptual,r_typicality,r_conceptual,r_perceptual,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,memo_training_trials.thisRepN,memo_training_trials.thisTrialN,memo_training_trials.thisN,memo_training_trials.thisIndex,categorization_trials.thisRepN,categorization_trials.thisTrialN,categorization_trials.thisN,categorization_trials.thisIndex,kitchen_a_categorization_trials.thisRepN,kitchen_a_categorization_trials.thisTrialN,kitchen_a_categorization_trials.thisN,kitchen_a_categorization_trials.thisIndex,kitchen_a_memotest.thisRepN,kitchen_a_memotest.thisTrialN,kitchen_a_memotest.thisN,kitchen_a_memotest.thisIndex,kitchen_b_categorization_trials.thisRepN,kitchen_b_categorization_trials.thisTrialN,kitchen_b_categorization_trials.thisN,kitchen_b_categorization_trials.thisIndex,kitchen_b_memotest.thisRepN,kitchen_b_memotest.thisTrialN,kitchen_b_memotest.thisN,kitchen_b_memotest.thisIndex,living_a_categorization_trials.thisRepN,living_a_categorization_trials.thisTrialN,living_a_categorization_trials.thisN,living_a_categorization_trials.thisIndex,living_a_memotest.thisRepN,living_a_memotest.thisTrialN,living_a_memotest.thisN,living_a_memotest.thisIndex,living_b_categorization_trials.thisRepN,living_b_categorization_trials.thisTrialN,living_b_categorization_trials.thisN,living_b_categorization_trials.thisIndex,living_b_memotest.thisRepN,living_b_memotest.thisTrialN,living_b_memotest.thisN,living_b_memotest.thisIndex,bed_a_categorization_trials.thisRepN,bed_a_categorization_trials.thisTrialN,bed_a_categorization_trials.thisN,bed_a_categorization_trials.thisIndex,bed_a_memotest.thisRepN,bed_a_memotest.thisTrialN,bed_a_memotest.thisN,bed_a_memotest.thisIndex,bed_b_categorization_trials.thisRepN,bed_b_categorization_trials.thisTrialN,bed_b_categorization_trials.thisN,bed_b_categorization_trials.thisIndex,bed_b_memotest.thisRepN,bed_b_memotest.thisTrialN,bed_b_memotest.thisN,bed_b_memotest.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,memo_training_slider_key_resp.keys,memo_training_slider_key_resp.rt,memo_training_slider_key_resp.duration,bed_b_text_2.started,bed_b_block_no.started,bed_picture_image.started,bed_picture_resp.keys,bed_picture_resp.corr,bed_picture_resp.rt,bed_picture_resp.duration,bed_picture_image.stopped,memotest_task_slider_key_resp.keys,memotest_task_slider_key_resp.rt,memotest_task_slider_key_resp.duration,kitchen_fix.started,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
stimuli/train_6.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.745996957994066,,,,j,1,61.91643149999436,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_9.jpg,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.92912124999566,,,,j,1,64.15894508297788,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_13.jpg,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.29581724997843,,,,j,0,67.61511216696817,None,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_2.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.24870558298426,,,,,,,,j,71.7740432919818,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_19.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.279618999979,,,,,,,,j,74.80722979200073,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_17.jpg,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.31257562496467,,,,,,,,j,78.88707324996358,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_3.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.37983458297094,,,,,,,,j,82.80792208295316,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_8.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.31350904196734,,,,,,,,j,85.9772762079956,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
stimuli/train_1.jpg,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.59540379198734,,,,,,,,j,89.73029637499712,None,,,,,,,,,,,,,30,,,,2024-06-18_12h53.53.831,SceneCat_2023_2_key_resp,2024.1.1,None,2024-06-18 12h54.06.439158 +0200,
